iter	Passed	Remaining
554	27967	72816
555	28015	72760
556	28064	72706
557	28119	72667
558	28175	72630
559	28227	72583
560	28274	72527
561	28330	72488
562	28378	72432
563	28428	72381
564	28489	72358
565	28540	72309
566	28592	72262
567	28642	72211
568	28700	72180
569	28754	72138
570	28837	72168
571	28890	72125
572	28940	72072
573	28987	72014
574	29052	71998
575	29097	71936
576	29148	71885
577	29202	71845
578	29256	71802
579	29304	71744
580	29365	71719
581	29417	71673
582	29469	71627
583	29529	71598
584	29577	71542
585	29630	71496
586	29677	71439
587	29744	71427
588	29798	71384
589	29854	71347
590	29918	71327
591	29966	71271
592	30015	71217
593	30066	71168
594	30114	71111
595	30166	71062
596	30215	71008
597	30266	70958
598	30312	70897
599	30382	70893
600	30430	70836
601	30478	70779
602	30524	70716
603	30574	70664
604	30628	70622
605	30680	70575
606	30734	70532
607	30785	70482
608	30847	70458
609	30912	70441
610	30965	70394
611	31016	70343
612	31066	70292
613	31120	70248
614	31174	70206
615	31225	70156
616	31271	70095
617	31322	70044
618	31365	69978
619	31416	69926
620	31467	69877
621	31517	69824
622	31566	69771
623	31620	69727
624	31669	69673
625	31717	69616
626	31780	69593
627	31841	69565
628	31903	69538
629	31950	69480
630	32001	69429
631	32052	69378
632	32103	69329
633	32156	69283
634	32209	69237
635	32260	69186
636	32315	69146
637	32363	69088
638	32414	69040
639	32461	68981
640	32512	68930
641	32557	68866
642	32613	68827
643	32664	68777
644	32720	68738
645	32770	68686
646	32825	68644
647	32883	68608
648	32944	68580
649	33004	68546
650	33052	68490
651	33101	68437
652	33151	68384
653	33221	68374
654	33275	68329
655	33338	68303
656	33397	68268
657	33449	68220
658	33497	68164
659	33549	68116
660	33598	68061
661	33646	68004
662	33696	67952
663	33749	67906
664	33809	67874
665	33866	67835
666	33922	67795
667	33981	67759
668	34034	67712
669	34088	67668
670	34142	67624
671	34194	67574
672	34243	67520
673	34298	67477
674	34351	67430
675	34402	67380
676	34454	67331
677	34503	67276
678	34550	67218
679	34603	67171
680	34653	67119
681	34703	67065
682	34759	67025
683	34822	66996
684	34886	66972
685	34943	66931
686	34995	66884
687	35068	66874
688	35119	66823
689	35166	66765
690	35219	66718
691	35268	66664
692	35315	66605
693	35360	66542
694	35412	66494
695	35464	66444
696	35517	66397
697	35570	66350
698	35622	66300
699	35668	66241
700	35717	66187
701	35767	66133
702	35832	66108
703	35887	66066
704	35938	66015
705	35991	65966
706	36038	65909
707	36092	65863
708	36148	65822
709	36200	65772
710	36256	65730
711	36304	65674
712	36354	65621
713	36404	65569
714	36449	65507
715	36499	65453
716	36545	65393
717	36595	65342
718	36648	65295
719	36698	65241
720	36749	65190
721	36814	65165
722	36883	65146
723	36935	65095
724	36989	65050
725	37043	65004
726	37096	64956
727	37145	64902
728	37208	64871
729	37256	64815
730	37306	64763
731	37351	64701
732	37400	64647
733	37470	64629
734	37520	64576
735	37588	64553
736	37636	64497
737	37683	64440
738	37732	64384
739	37782	64333
740	37842	64296
741	37900	64257
742	37948	64201
743	37998	64148
744	38045	64090
745	38095	64037
746	38153	63998
747	38207	63951
748	38259	63902
749	38307	63845
750	38354	63787
751	38407	63739
752	38456	63685
753	38509	63637
754	38562	63589
755	38612	63536
756	38666	63489
757	38718	63440
758	38772	63395
759	38823	63343
760	38880	63301
761	38931	63250
762	38995	63220
763	39046	63170
764	39096	63116
765	39145	63061
766	39205	63024
767	39280	63012
768	39336	62968
769	39386	62915
770	39439	62867
771	39491	62817
772	39543	62767
773	39601	62727
774	39651	62675
775	39703	62625
776	39758	62580
777	39814	62536
778	39867	62488
779	39919	62438
780	39970	62387
781	40027	62345
782	40079	62295
783	40128	62240
784	40178	62187
785	40228	62133
786	40296	62109
787	40351	62062
788	40399	62006
789	40449	61954
790	40498	61899
791	40551	61850
792	40602	61800
793	40647	61738
794	40706	61699
795	40767	61663
796	40824	61621
797	40883	61580
798	40937	61533
799	40991	61486
800	41042	61435
801	41087	61374
802	41136	61320
803	41187	61269
804	41232	61208
805	41281	61154
806	41338	61110
807	41384	61052
808	41435	61000
809	41487	60950
810	41534	60892
811	41591	60849
812	41640	60795
813	41692	60746
814	41743	60694
815	41802	60655
816	41864	60619
817	41918	60571
818	41970	60521
819	42027	60478
820	42078	60426
821	42131	60377
822	42183	60327
823	42233	60275
824	42281	60218
825	42335	60172
826	42376	60105
827	42431	60059
828	42484	60010
829	42529	59950
830	42579	59897
831	42629	59844
832	42684	59798
833	42732	59743
834	42798	59712
835	42864	59682
836	42924	59643
837	42970	59583
838	43017	59527
839	43075	59484
840	43119	59423
841	43199	59412
842	43248	59358
843	43302	59309
844	43349	59252
845	43397	59197
846	43449	59146
847	43501	59096
848	43552	59044
849	43599	58988
850	43647	58931
851	43694	58875
852	43748	58827
853	43803	58781
854	43862	58740
855	43915	58691
856	43964	58636
857	44015	58585
858	44073	58542
859	44123	58489
860	44177	58441
861	44228	58389
862	44275	58333
863	44321	58274
864	44371	58221
865	44422	58169
866	44470	58113
867	44521	58063
868	44573	58012
869	44626	57963
870	44677	57911
871	44726	57857
872	44785	57815
873	44851	57783
